RowId,OnlineRetailer,SalesMonth,Title,Vintage,Variety,Score,Price,Quantity
30,Arancione,2022-04,Principe Corsini Fattoria Le Corti 1997 Sant'Andrea Corsini  (Vin Santo del Chianti Classico),1997,White Blend,97,30,92
31,Arancione,2022-04,Elvio Cogno 2011 Ravera  (Barolo),2011,Nebbiolo,95,76,87
32,Arancione,2022-04,Il Paradiso di Manfredi 2006 Riserva  (Brunello di Montalcino),2006,Sangiovese,97,152,197
33,Arancione,2022-04,Dal Forno Romano 2006  Amarone della Valpolicella,2006,"Corvina, Rondinella, Molinara",95,530,53
34,Arancione,2022-04,Schiavenza 2013 Prapò  (Barolo),2013,Nebbiolo,96,70,131
35,Arancione,2022-04,Giuseppe Rinaldi 2011 Tre Tine  (Barolo),2011,Nebbiolo,95,125,54
36,Arancione,2022-04,Benanti 2009  Etna,2009,Nerello Mascalese,95,50,75
37,Arancione,2022-04,Petra 1998 Riserva Cabernet Sauvignon-Merlot (Toscana),1998,Cabernet Sauvignon-Merlot,95,50,23
38,Arancione,2022-04,Brezza 2013 Sarmassa  (Barolo),2013,Nebbiolo,96,70,187
39,Arancione,2022-04,Castello del Terriccio 2004 Castello del Terriccio Red (Toscana),2004,Red Blend,95,140,139
40,Arancione,2022-04,Bucci 2013 Villa Bucci Riserva  (Verdicchio dei Castelli di Jesi Classico Superiore),2013,Verdicchio,95,57,113
41,Arancione,2022-04,Marchesi Antinori 2004 Solaia Red (Toscana),2004,Red Blend,96,170,198
42,Arancione,2022-04,Passopisciaro 2012 Contrada P Nerello Mascalese (Terre Siciliane),2012,Nerello Mascalese,95,80,64
43,Arancione,2022-04,Fattoria Petrolo 2008 Galatrona Merlot (Toscana),2008,Merlot,97,134,54
44,Arancione,2022-04,Fattoria Petrolo 2006 Galatrona Merlot (Toscana),2006,Merlot,95,120,63
45,Arancione,2022-04,Produttori del Barbaresco 2011 Rabajà Riserva  (Barbaresco),2011,Nebbiolo,97,58,99
46,Arancione,2022-04,Paolo Scavino 2011 Rocche dell'Annunziata Riserva  (Barolo),2011,Nebbiolo,96,190,99
47,Arancione,2022-04,Castello Banfi 2007 Poggio all'Oro Riserva  (Brunello di Montalcino),2007,Sangiovese Grosso,95,150,84
48,Arancione,2022-04,Masseto 2010 Merlot (Toscana),2010,Merlot,97,550,117
49,Arancione,2022-04,Giuseppe Rinaldi 2011 Brunate  (Barolo),2011,Nebbiolo,95,135,113
50,Arancione,2022-04,Grimaldi Bruna 2013 Badarina  (Barolo),2013,Nebbiolo,97,75,111
51,Arancione,2022-04,Baricci 2012  Brunello di Montalcino,2012,Sangiovese,96,50,95
52,Arancione,2022-04,Tua Rita 2005 Redigaffi Merlot (Toscana),2005,Merlot,95,275,192
53,Arancione,2022-04,Uccelliera 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,95,130,3
54,Arancione,2022-04,Abbazia di Novacella 2015 Praepositus Kerner (Alto Adige),2015,Kerner,95,25,149
55,Arancione,2022-04,Gaja 2009 Costa Russi Nebbiolo (Langhe),2009,Nebbiolo,95,495,113
56,Arancione,2022-04,Cordero di Montezemolo 2006 Bricco Gattera  (Barolo),2006,Nebbiolo,95,30,2
57,Arancione,2022-04,Feudi di San Gregorio 2012 Patrimo Merlot (Campania),2012,Merlot,96,105,157
58,Arancione,2022-04,Giacomo Fenocchio 2008 Bussia 90 Dì  (Barolo),2008,Nebbiolo,97,80,61
59,Arancione,2022-04,Tenuta dell'Ornellaia 2004 Masseto Merlot (Toscana),2004,Merlot,99,250,20
60,Arancione,2022-04,Isole e Olena 2010  Chianti Classico,2010,Red Blend,96,27,188
61,Arancione,2022-04,Germano Ettore 2013 Cerretta  (Barolo),2013,Nebbiolo,95,75,172
62,Arancione,2022-04,Poggio al Tesoro 2006 Dedicato a Walter Cabernet Franc (Toscana),2006,Cabernet Franc,95,90,43
63,Arancione,2022-04,Donnafugata 2008 Ben Ryé  (Passito di Pantelleria),2008,Zibibbo,95,40,118
64,Arancione,2022-04,Moccagatta 2007 Basarin  (Barbaresco),2007,Nebbiolo,95,30,194
65,Arancione,2022-04,Arnaldo Caprai 2007 25 Anni  (Sagrantino di Montefalco),2007,Sagrantino,95,100,184
66,Arancione,2022-04,Gianni Voerzio 2007 La Serra  (Barolo),2007,Nebbiolo,96,125,56
67,Arancione,2022-04,Sottimano 2010 Riserva  (Barbaresco),2010,Nebbiolo,96,79,30
68,Arancione,2022-04,Sordo 2010 Gabutti  (Barolo),2010,Nebbiolo,95,55,162
69,Arancione,2022-04,Luigi Oddero & Figli 2009  Barolo,2009,Nebbiolo,95,30,103
70,Arancione,2022-04,Rizzi 2009 Boito Riserva  (Barbaresco),2009,Nebbiolo,95,59,107
71,Arancione,2022-04,Lisini 2011  Brunello di Montalcino,2011,Sangiovese,95,80,3
72,Arancione,2022-04,Il Marroneto 2012 Madonna delle Grazie  (Brunello di Montalcino),2012,Sangiovese,99,200,172
73,Arancione,2022-04,Le Potazzine 2012  Brunello di Montalcino,2012,Sangiovese,96,85,179
74,Arancione,2022-04,Gaja 2008 Conteisa Nebbiolo (Langhe),2008,Nebbiolo,95,240,40
75,Arancione,2022-04,Aurelio Settimo 2010 Rocche dell'Annunziata  (Barolo),2010,Nebbiolo,95,65,23
76,Arancione,2022-04,Pio Cesare 2007  Barolo,2007,Nebbiolo,95,65,106
77,Arancione,2022-04,San Giusto a Rentennano 2004 Percarlo Sangiovese (Toscana),2004,Sangiovese,95,70,81
78,Arancione,2022-04,Podere L'Aione 2004 Salve Sangiovese (Toscana),2004,Sangiovese,95,54,158
79,Arancione,2022-04,Cavallotto 2009 Vignolo Riserva  (Barolo),2009,Nebbiolo,95,100,49
80,Arancione,2022-04,Sandrone 2011 Cannubi Boschis  (Barolo),2011,Nebbiolo,96,165,51
81,Arancione,2022-04,Cavallotto 2010 Vignolo Riserva  (Barolo),2010,Nebbiolo,97,150,127
82,Arancione,2022-04,Giacomo Fenocchio 2010 Villero  (Barolo),2010,Nebbiolo,95,60,89
83,Arancione,2022-04,Verbena 2006 Riserva  (Brunello di Montalcino),2006,Sangiovese Grosso,95,75,169
84,Arancione,2022-04,Giacomo Conterno 2011 Francia  (Barolo),2011,Nebbiolo,95,225,14
85,Arancione,2022-04,Avignonesi 1997 375ml  (Vin Santo di Montepulciano),1997,White Blend,97,170,150
86,Arancione,2022-04,Luciano Sandrone 2007 Cannubi Boschis  (Barolo),2007,Nebbiolo,96,165,3
87,Arancione,2022-04,Massolino 2011 Parafada  (Barolo),2011,Nebbiolo,95,99,60
88,Arancione,2022-04,Mirafiore 2007 Riserva  (Barolo),2007,Nebbiolo,95,135,77
89,Arancione,2022-04,Conti Costanti 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,98,190,177
90,Arancione,2022-04,Castello Banfi 2007 Excelsus Red (Toscana),2007,Red Blend,97,81,22
91,Arancione,2022-04,Massolino 2010 Vigna Rionda Riserva  (Barolo),2010,Nebbiolo,96,150,95
92,Arancione,2022-04,Marchesi Antinori 2009 Tignanello Red (Toscana),2009,Red Blend,95,105,75
93,Arancione,2022-04,Terralsole 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,96,89,12
94,Arancione,2022-04,Guastaferro 2008 Primum  (Taurasi),2008,Aglianico,95,30,194
95,Arancione,2022-04,Le Macchiole 2006 Paleo Cabernet Franc (Toscana),2006,Cabernet Franc,96,125,131
96,Arancione,2022-04,Brezza 2013 Cannubi  (Barolo),2013,Nebbiolo,98,60,177
97,Arancione,2022-04,Castello Banfi 2006 Poggio all'Oro Riserva  (Brunello di Montalcino),2006,Sangiovese Grosso,95,150,34
98,Arancione,2022-04,Monteraponi 2010 Il Campitello Riserva  (Chianti Classico),2010,Red Blend,95,55,18
99,Arancione,2022-04,Le Macchiole 2007 Messorio Merlot (Toscana),2007,Merlot,99,320,73
100,Arancione,2022-04,Conti Costanti 2011  Brunello di Montalcino,2011,Sangiovese,95,74,9
101,Arancione,2022-04,Fattoria Le Pupille 2004 Saffredi  (Maremma),2004,Red Blend,95,140,173
102,Arancione,2022-04,Sordo 2010 Monvigliero  (Barolo),2010,Nebbiolo,95,65,177
103,Arancione,2022-04,Manzone 2013 Fraschin Bricco San Pietro  (Barolo),2013,Nebbiolo,95,48,10
104,Arancione,2022-04,Castello di Ama 2006 L'Apparita Merlot (Toscana),2006,Merlot,96,169,83
105,Arancione,2022-04,Massolino 2013 Serralunga d'Alba  (Barolo),2013,Nebbiolo,95,52,48
106,Arancione,2022-04,Rizzi 2014 Nervo  (Barbaresco),2014,Nebbiolo,95,59,134
107,Arancione,2022-04,Comm. G. B. Burlotto 2013 Acclivi  (Barolo),2013,Nebbiolo,96,60,26
108,Arancione,2022-04,Brovia 2013 Brea Vigna Cà Mia  (Barolo),2013,Nebbiolo,97,96,0
109,Arancione,2022-04,Paolo Scavino 2009 Bric dël Fiasc  (Barolo),2009,Nebbiolo,95,118,84
110,Arancione,2022-04,Marchesi Antinori 2012 Tignanello Red (Toscana),2012,Red Blend,95,105,5
111,Arancione,2022-04,Cafaggio 2010 Basilica Solatìo Riserva  (Chianti Classico),2010,Sangiovese,95,40,10
112,Arancione,2022-04,Col d'Orcia 2004 Olmaia Cabernet Sauvignon (Sant'Antimo),2004,Cabernet Sauvignon,95,75,146
113,Arancione,2022-04,Milziade Antano 2010 Colleallodole  (Montefalco Sagrantino),2010,Sagrantino,96,80,129
114,Arancione,2022-04,Tenuta dell'Ornellaia 2004 Ornellaia  (Bolgheri Superiore),2004,Red Blend,98,175,98
115,Arancione,2022-04,Tenuta di Biserno 2011 Lodovico Red (Toscana),2011,Red Blend,95,419,42
116,Arancione,2022-04,Cavallotto 2011 Vignolo Riserva  (Barolo),2011,Nebbiolo,95,30,102
117,Arancione,2022-04,San Felice 2013 Il Grigio Gran Selezione  (Chianti Classico),2013,Red Blend,95,55,175
118,Arancione,2022-04,Massolino 2013 Margheria  (Barolo),2013,Nebbiolo,96,97,61
119,Arancione,2022-04,Mauro Molino 2005 Vigna Conca  (Barolo),2005,Nebbiolo,95,30,27
