,ProductId,country,description,designation,Score,Price,province,region_1,region_2,taster_ProductName,taster_twitter_handle,Title,Vintage,Variety,Winery,Year
10,4503,Italy,"Alluring, ethereal scents of perfumed berry, aromatic herb, fragrant blue flower, new leather, orange zest and exotic spice abound on this radiant wine. The smooth, vibrant palate is loaded with finesse, delivering juicy red cherry, raspberry, cake spice and energizing mineral. Silky, supple tannins and bright acidity provide impeccable balance. It's already extremely tempting but hold for even more complexity. Drink 2018–2025.",Contrada R,97,60.0,Sicily & Sardinia,Terre Siciliane,,Kerin O’Keefe,@kerinokeefe,Passopisciaro 2013 Contrada R Nerello Mascalese (Terre Siciliane),2013,Nerello Mascalese,Passopisciaro,2013
11,4513,Italy,"Multifaceted aromas of rose, iris, leather, cranberry, truffle and the barest hint of game lead the nose. The radiant palate offers creamy strawberry, ripe red cherry, orange zest, baking spice, dried herb and tobacco alongside firm but polished tannins. Fresh acidity provides balance while a mineral vein energizes the finish. With its smooth texture, it's already tempting but hold for even more complexity. Drink 2018–2026.",Brunate,96,146.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Giuseppe Rinaldi 2012 Brunate  (Barolo),2012,Nebbiolo,Giuseppe Rinaldi,2012
12,4515,Italy,"95   Massolino 2012 Parafada (Barolo). A textbook Barolo, this opens with scents of mature berry, leather, underbrush, tobacco and an elegant trace of fragrant blue flower. The well-structured palate delivers succulent black cherry, crushed raspberry, cinnamon, licorice, clove and mineral alongside a backbone of firm yet refined tannins. Drink 2020–2030.",Parafada,95,96.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Massolino 2012 Parafada  (Barolo),2012,Nebbiolo,Massolino,2012
13,4522,Italy,"Roberto Conterno didn't make his flagship Monfortino in this vintage so he blended the juice destined for this iconic wine into Francia. It opens with enticing aromas of dark berry, underbrush, baking spice, mineral and a balsamic note that carry over to the powerful palate, along with juicy raspberry, licorice and tobacco. It's big and structured but also shows balance and complexity. Drink 2019–2029.",Francia,95,225.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Giacomo Conterno 2011 Francia  (Barolo),2011,Nebbiolo,Giacomo Conterno,2011
14,4523,Italy,"Fragrant and loaded with finesse, this opens with aromas of wild berry, blue flower, new leather, aromatic herb and a whiff of exotic spice. The structured, elegant palate delivers layers of red cherry, strawberry, flinty mineral, orange zest, star anise and clove framed in firm, polished tannins and bright acidity. It's still young and will develop even more complexity. Drink 2019–2029.",Contrada Monte San Nicolò,95,30.0,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Biondi 2014 Contrada Monte San Nicolò  (Etna),2014,Red Blend,Biondi,2014
15,4524,Italy,"This gorgeous wine opens with aromas of smoke, baking spice, red berry and flint. The mineral note carries over to the vibrant, silky palate, accenting juicy Morello cherry, white pepper, star anise, Mediterranean herb and tobacco. Polished tannins and fresh acidity provide impeccable balance. Hold for more complexity. Drink 2019–2027.",Outis Rosso,95,40.0,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Biondi 2014 Outis Rosso  (Etna),2014,Red Blend,Biondi,2014
16,4527,Italy,"Radiant and earthy, this blend of Frappato and Nero d'Avola boasts enticing scents suggesting dark-skinned berry, leather, sunbaked earth, sea breeze and a floral note. The creamy, succulent palate doles out juicy black cherry, black raspberry, white pepper and aromatic herb alongside supple tannins and fresh acidity. A saline note wraps up the finish. Drink 2017–2024.",Pithos Rosso,95,30.0,Sicily & Sardinia,Vittoria,,Kerin O’Keefe,@kerinokeefe,COS 2014 Pithos Rosso Red (Vittoria),2014,Red Blend,COS,2014
17,6424,Italy,"Mocali's beautiful riserva opens with an inky dark appearance, thick concentration and savory aromas of leather and spice that add one more layer of complexity to an already very enticing wine. At the core, it is redolent of dark fruit and cherry, and the mouthfeel is thick and luscious. The richness of the color is beautiful as is the suppleness of the wine's texture. Hold 10 years.",Riserva,96,73.0,Tuscany,Brunello di Montalcino,,,,Mocali 2007 Riserva  (Brunello di Montalcino),2007,Sangiovese Grosso,Mocali,2007
18,6436,Italy,"Vigna Paganelli shows amazing results with a bright fruit quality that translates into black cherry and blackberry. At the back are sophisticated tones of leather, tobacco and light touches of spice that give the wine depth and elegance. The most interesting aspect, however, is the mouthfeel that shows firm but beautifully ripe tannins that will help the wine age 10 years or more.",Vigna Paganelli Riserva,95,115.0,Tuscany,Brunello di Montalcino,,,,Il Poggione 2007 Vigna Paganelli Riserva  (Brunello di Montalcino),2007,Sangiovese Grosso,Il Poggione,2007
19,6439,Italy,"Castello Banfi delivers a sophisticated and elegant expression with pretty highlights of dark fruit, cassis, crushed spice and even a dusting of black pepper. This classy riserva delivers dark concentration, polished tannins, balanced acidity and long fruit-driven persistency. Best in 5–10 years.",Poggio all'Oro Riserva,95,150.0,Tuscany,Brunello di Montalcino,,,,Castello Banfi 2007 Poggio all'Oro Riserva  (Brunello di Montalcino),2007,Sangiovese Grosso,Castello Banfi,2007
20,6445,Italy,"Riserva Poggio alle Mura really delivers the goods with a dark garnet appearance and huge aromatic intensity that comes forth as dried fruit, cassis, prune, cola, ginger, cedar and licorice. The wine shows complexity and balance with endnotes of sweet spice and dark berry. This is a rich, plush and velvety Brunello that will be ready to drink in just a few brief years.",Poggio alle Mura Riserva,95,30.0,Tuscany,Brunello di Montalcino,,,,Castello Banfi 2007 Poggio alle Mura Riserva  (Brunello di Montalcino),2007,Sangiovese Grosso,Castello Banfi,2007
21,7335,Italy,"Thick as molasses and dark as caramelized brown sugar, the wine oozes out of the bottle releasing concentrated aromas of butterscotch, toffee, honey, licorice, coffee, resin and maple syrup. Grapes from the Montepulciano area are dried in a ventilated room and the wine ages over 10 years in tiny oak barrels resulting in thick, dark concentration. Don't pair it with food: Vin Santo as good as this deserves to be enjoyed alone, as a so-called “meditation wine.”",Occhio di Pernice,100,210.0,Tuscany,Vin Santo di Montepulciano,,,,Avignonesi 1995 Occhio di Pernice  (Vin Santo di Montepulciano),1995,Prugnolo Gentile,Avignonesi,1995
22,8859,Italy,"Red berry, aromatic herb, pressed violet and dark spice aromas meld together in the glass. Firmly structured, the palate boasts intensity and energy, offering dark cherry, licorice and mint set against a backbone of fine-grained tannins and fresh acidity. It's well balanced but young so give this time to fully develop. Drink 2020–2032.",Costa Russi,95,450.0,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Gaja 2013 Costa Russi  (Barbaresco),2013,Nebbiolo,Gaja,2013
23,8865,Italy,"Full-bodied and velvety, this opens with alluring aromas of baking spice, mature plum, violet, Alpine herb and a balsamic note. The concentrated palate is smooth and robust, but it also boasts a weightless quality, delivering dried black cherry, nutmeg, cinnamon, anise, dried date and pipe tobacco alongside firm polished tannins and fresh acidity. A mineral note closes the finish. This is the best Sfursat 5 Stelle I've tried so far. Drink 2018–2028.",5 Stelle,95,82.0,Lombardy,Sforzato di Valtellina,,Kerin O’Keefe,@kerinokeefe,Nino Negri 2013 5 Stelle  (Sforzato di Valtellina),2013,Nebbiolo,Nino Negri,2013
24,8883,Italy,"Combining finesse and structure, this impressive wine opens with fantastic scents of new leather, woodland berry, baking spice and balsamic notes. A blend of Nebbiolo and 15% Vespolina, the enticing palate doles out juicy black cherry, raspberry and white pepper framed in firm refined tannins. An energizing mineral note carries the lingering finish. Despite the warm vintage, it still boasts freshness. Drink through 2026.",,95,55.0,Piedmont,Boca,,Kerin O’Keefe,@kerinokeefe,Le Piane 2009  Boca,2009,Red Blend,Le Piane,2009
25,10743,Italy,"Fruit was picked later than normal and the Masseto Merlot does indeed show mature aromas of black cherry, ripe blackberry, earthy iron and polished stone. The intensity and purity are amazing and the wine is sophisticated, soft and very rich on the finish. It is already showing beautiful evolution in the glass.",Masseto,95,460.0,Tuscany,Toscana,,,,Tenuta dell'Ornellaia 2005 Masseto Merlot (Toscana),2005,Merlot,Tenuta dell'Ornellaia,2005
26,10745,Italy,"A 50-50 blend of Sangiovese and Cabernet, this wine is rich and opulent, without being at all heavy or exaggerated. The mouthfeel is smooth, soft but structured and there is a long fruit and spice flavored finish.",Madre,95,30.0,Tuscany,Toscana,,,,Poggio Antico 2007 Madre Red (Toscana),2007,Red Blend,Poggio Antico,2007
27,11186,Italy,"Here's a gorgeous, delicious wine that's all about sheer elegance. It's loaded with alluring blue flower, creamy wild cherry and black raspberry sensations accented by notes of carob, clove and white pepper. This is impeccably balanced, with fresh acidity, silky, smooth tannins and a long, lingering finish. It already boasts great depth and complexity, but will continue to evolve for years.",,95,50.0,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Benanti 2009  Etna,2009,Nerello Mascalese,Benanti,2009
28,15184,Italy,"Smooth and structured, this blend of Cabernet Sauvignon and Petit Verdot opens with intense aromas of ripe blackberry, red currant, exotic spice, menthol, blue flower and a hint of grilled bell pepper. The dense, concentrated palate offers juicy black cherry, raspberry, vanilla, mocha, Asian spice and a hint of game alongside velvety tannins that give it a polished texture.",D'Alceo,95,260.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Castello dei Rampolla 2011 D'Alceo Red (Toscana),2011,Red Blend,Castello dei Rampolla,2011
29,15190,Italy,"A few minutes in the glass releases quintessential Sangiovese aromas of ripe dark-skinned berry, underbrush, baking spice, tobacco, leather and a floral note. The elegant, balanced palate doles out juicy Morello cherry, crushed raspberry, cinnamon and white pepper alongside polished, velvety tannins and fresh acidity. It's already almost accessible but also shows staying power. Drink from 2018 through 2025.",,95,46.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Il Colle 2010  Brunello di Montalcino,2010,Sangiovese,Il Colle,2010
30,15191,Italy,"Aromas of ripe, dark-skinned berry, baking spice sunbaked soil, tobacco, grilled herb and a whiff of leather unfold on this smooth, structured red. The juicy, polished palate doles out fleshy wild cherry, crushed raspberry, cinnamon, candied orange zest, iron and nutmeg framed in velvety tannins that impart a silky mouthfeel. It's already delicious but will continue to develop complexity over the next decade. Drink through 2027.",Riserva,95,144.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Il Paradiso di Manfredi 2007 Riserva  (Brunello di Montalcino),2007,Sangiovese,Il Paradiso di Manfredi,2007
31,15613,Italy,"An intriguing, fabulous dessert wine. The aromas are complex, intense and balanced on a tightrope: mature peach, honey, wet stone, peppermint and delicate mineral nuances. Picolit is an indigenous grape that suffers from a unique disorder in which a good number of berries on each cluster never mature. The remaining berries become concentrated in rich flavor and sugar. Livio Felluga's version is a masterpiece that ends with a fresh, menthol-driven finish and a crisp close. Pair this elegant wine with crème brûlée or a light caramel custard.",Picolit,95,100.0,Northeastern Italy,Colli Orientali del Friuli,,,,Livio Felluga 2004 Picolit Picolit (Colli Orientali del Friuli),2004,Picolit,Livio Felluga,2004
32,15831,Italy,"Balancing power and grace, this wine delivers alluring aromas and flavors of ripe black cherry, raspberry compote, grilled herb, licorice and tar. Vibrant acidity and firm, velvety tannins provide freshness and structure, while a hint of pipe tobacco closes the lingering finish. Drink 2020–2032.",Montosoli,97,125.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Altesino 2012 Montosoli  (Brunello di Montalcino),2012,Sangiovese,Altesino,2012
33,15844,Italy,"Dark-skinned berry, forest floor, pipe tobacco, new leather and balsamic notes float out of the glass. On the elegantly structured palate, taut, polished tannins and vibrant acidity frame ripe red cherry, exotic spice and aromatic herb flavors. A lingering star anise note announces the close. Impeccably balanced and loaded with class, it's still young and needs time to fully develop. Drink 2022–2037.",,96,65.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Le Chiuse 2012  Brunello di Montalcino,2012,Sangiovese,Le Chiuse,2012
34,15853,Italy,"Underbrush, ripe berry, new leather and Mediterranean herb aromas slowly take shape in the glass. Showing youthful tension, the vibrant palate delivers red cherry, pomegranate, white pepper and pipe tobacco notes framed by bright acidity and taut, refined tannins. It already shows great balance and finesse but is still young and tight. Drink 2022–2035.",,96,199.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Biondi Santi 2012  Brunello di Montalcino,2012,Sangiovese,Biondi Santi,2012
35,16523,Italy,"Polished and well structured, this vibrant, savory red hits all the high notes. It opens with enticing red cherry, pressed rose, ground clove and balsamic scents that follow through to the chiseled palate, along with crushed cranberry and licorice notes. Firm but refined tannins and fresh acidity lend impeccable balance and finesse. Drink 2023–2043.",Prapò,97,75.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Germano Ettore 2013 Prapò  (Barolo),2013,Nebbiolo,Germano Ettore,2013
36,16526,Italy,"This gorgeous wine's nose offers a potpourri of fragrant blue flowers, exotic spices, crushed herbs and wild berries. The palate delivers tart red cherry, raspberry compote, orange zest and cinnamon flavors framed by firm, refined tannins and bright acidity. A licorice note caps off the lingering finish. Drink 2022–2034.",Ronchi,96,55.0,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Albino Rocca 2014 Ronchi  (Barbaresco),2014,Nebbiolo,Albino Rocca,2014
37,16527,Italy,"Fragrant blue flower, dark spice, crushed herb and wild berry aromas are front and center on this impressive, structured red. The lively, energetic palate offers cranberry, red cherry, licorice and ground clove flavors set against youthful, noble tannins and firm acidity. A tobacco note lingers on the finish. It's still young and tightly wound but will blossom into a beauty over the next decade. Drink 2023–2045.",Sarmassa,96,70.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Brezza 2013 Sarmassa  (Barolo),2013,Nebbiolo,Brezza,2013
38,16530,Italy,"Earthy, enticing violet, pressed rose, new leather crushed mint and game aromas follow through to succulent, savory palate, along with Marasca cherry and cranberry notes. Star anise, white pepper and clove accents add depth while youthfully assertive, refined tannins and vibrant acidity provide an ageworthy framework. Drink 2022–2034.",Angelo,96,98.0,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Albino Rocca 2014 Angelo  (Barbaresco),2014,Nebbiolo,Albino Rocca,2014
39,16534,Italy,"New leather, red berry, tobacco and menthol are some of the aromas you'll find in this powerfully structured but elegant wine. The firm palate delivers juicy Marasca cherry, raspberry compote, licorice and cinnamon flavors framed by noble, fine-grained tannins and bright acidity. Drink 2025–2045.",Cerretta,95,75.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Germano Ettore 2013 Cerretta  (Barolo),2013,Nebbiolo,Germano Ettore,2013
40,16770,Italy,"One of the best expressions from the classic Cannubi vineyard area, this fragrant red is all about finesse, opening with enticing scents of perfumed berry, iris, rose, chopped herb, baking spice and new leather. The vibrant palate boasts structure as well as an almost ethereal elegance, delivering succulent red cherry, crushed strawberry, cinnamon and licorice wrapped in refined tannins. Bright acidity lends impeccable balance. Drink from 2021 through 2043.",Cannubi,98,60.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Brezza 2013 Cannubi  (Barolo),2013,Nebbiolo,Brezza,2013
41,16771,Italy,"Always the firm's showstopper and one of the best expressions of this celebrated vineyard, the 2013 doesn't disappoint. It opens with alluring scents of wild red berry, Alpine herb, truffle, graphite and new leather while the dazzling palate boasts Marasca cherry, clove, cinnamon, tobacco and a balsamic note. It already shows remarkable finesse and complexity but still needs years to develop to its full and impressive potential. Drink from 2025 through 2050.",Monvigliero,98,70.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Comm. G. B. Burlotto 2013 Monvigliero  (Barolo),2013,Nebbiolo,Comm. G. B. Burlotto,2013
42,16772,Italy,"From one of the most celebrated vineyards in the entire Barolo denomination, this gorgeous wine boasts captivating aromas of new leather, underbrush, ripe berry, tobacco, a whiff of tilled soil and a balsamic note. Seamlessly combining elegance and structure, the long, compelling palate delivers layers of juicy black cherry, ripe raspberry, licorice and clove alongside a backbone of noble tannins. It's already a fantastic showing and will age wonderfully for decades. Drink 2021–2046.",Vigna Rionda Riserva,98,151.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Massolino 2011 Vigna Rionda Riserva  (Barolo),2011,Nebbiolo,Massolino,2011
43,16773,Italy,"Classic Nebbiolo aromas of new leather, menthol, pressed rose, perfumed wild berry and chopped aromatic herb continuously lift out of the glass. The luminous, delicious palate delivers layers of succulent Marasca cherry, crushed raspberry, cinnamon and star anise set against a backbone of youthfully assertive but fine tannins. Bright acidity gives it wonderful balance while a note of pipe tobacco graces the lingering finish. Drink 2028–2048.",Brunate,98,300.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Giuseppe Rinaldi 2013 Brunate  (Barolo),2013,Nebbiolo,Giuseppe Rinaldi,2013
44,16774,Italy,"Wild berry, iris, rose and a potpourri of culinary spice aromas emerge on the nose of this stunning red. Radiant and full bodied, the palate is young and primary at this stage but already evokes morello cherry, licorice, pipe tobacco and aromatic herbs. Bright acidity and taut tannins provide impeccable balance and an impressive, age-worthy structure. Drink 2025–2043.",Ravera,97,82.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Elvio Cogno 2013 Ravera  (Barolo),2013,Nebbiolo,Elvio Cogno,2013
45,21078,Italy,"Already one of Italy's most iconic bottlings, this gorgeous 2010 is already a classic. Its complex and intense bouquet unfolds with ripe blackberries, violets, leather, thyme and balsamic herbs. The palate shows structure, poise and complexity, delivering rich black currants, black cherry, licorice, mint and menthol notes alongside assertive but polished tannins and vibrant energy. This wine will age and develop for decades. Drink 2018–2040.",Solaia,97,325.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Marchesi Antinori 2010 Solaia Red (Toscana),2010,Red Blend,Marchesi Antinori,2010
46,21081,Italy,"It opens with an enticing fragrance of black berries, toast, Mediterranean spices and a touch of vanilla. The vibrant, youthful palate delivers a core of black cherry accented with black pepper layered with mocha, mint and tobacco notes. The racy acidity and solid but brooding tannins demonstrate that this wine still needs time to develop to its extraordinary potential. Drink 2018–2035.",Cepparello,96,80.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Isole e Olena 2010 Cepparello Sangiovese (Toscana),2010,Sangiovese,Isole e Olena,2010
47,21087,Italy,"This iconic Brunello seamlessly combines power and finesse. It opens with earthy aromas of underbrush, tobacco, tilled soil and blackberries. The dense palate delivers juicy black cherry and raspberry alongside black pepper, licorice and a balsam note. It's impeccably balanced but still very young, and still showing racy acidity and assertive tannins. Give it time to soften and develop more complexity. Drink 2016–2031.",Poggio al Vento Riserva,95,150.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Col d'Orcia 2006 Poggio al Vento Riserva  (Brunello di Montalcino),2006,Sangiovese,Col d'Orcia,2006
48,21088,Italy,"Made entirely from Sangiovese, it opens with fragrances that recall spicy black berries and Mediterranean herbs. The velvety palate delivers power and finesse along with fleshy black cherry, licorice and a graphite note. Wine Warehouse, Polaner Selections.",Fontalloro,95,62.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Felsina 2010 Fontalloro Sangiovese (Toscana),2010,Sangiovese,Felsina,2010
49,21090,Italy,"From the grandson of the inventor of Brunello, this iconic bottling opens with a classic bouquet of rose, violet, berry and spice. The vibrant palate delivers bright wild cherry, white pepper and energizing mineral notes along with impeccable balance and finesse. It's very elegant, with firm but supple tannins and still-nervous acidity. Give it time to unwind and develop complexity. Drink 2016–2038.",,95,200.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Biondi Santi 2008  Brunello di Montalcino,2008,Sangiovese,Biondi Santi,2008
50,21091,Italy,"Demonstrating finesse and depth, it discloses a stunning fragrance of pressed rose, iris, berry, leather and truffle. The rich but elegant palate delivers creamy cherry, white pepper and licorice along with supple tannins. This wine already shows great depth but will continue to develop for years.",Rabajà Riserva,95,110.0,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Giuseppe Cortese 2006 Rabajà Riserva  (Barbaresco),2006,Nebbiolo,Giuseppe Cortese,2006
51,21093,Italy,"Black berry, plum, red currant and cedar aromas take center stage in this fantastic vintage of one of Italy's most iconic wines. The structured, poised palate delivers a great depth of flavors that include succulent black cherry, cracked black pepper and mocha that are energized by a flinty mineral note. Smooth and balanced with polished tannins and fresh acidity, this is already delicious but hold for complexity. Drink 2015–2030.",Tignanello,95,105.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Marchesi Antinori 2010 Tignanello Red (Toscana),2010,Red Blend,Marchesi Antinori,2010
52,21717,Italy,"This is an exceptional wine that will leave a mark, and a memory, with those who drink it. It's irresistible because of its brilliant, but simple, philosophy. Traditional Nebbiolo tones of cola, licorice and pressed violets are set beautifully against modern tones of spice, chocolate and vanilla. It's the integration of these two extremes that make this Barolo so important.",Bricco Gattera,96,80.0,Piedmont,Barolo,,,,Cordero di Montezemolo 2007 Bricco Gattera  (Barolo),2007,Nebbiolo,Cordero di Montezemolo,2007
53,21724,Italy,"Almost over the top, this beautiful Barolo from the most celebrated cru of them all—the iconic Cannubi vineyard—delivers maximum pleasure and intensity. This is a soft and velvety wine, with cherry, cassis, leather, moist tobacco and licorice aromas over extracted concentration and tight tannins. The wine needs more time to age and once it does, it can be paired with beef or aged cheeses.",Cannubi,95,135.0,Piedmont,Barolo,,,,Marchesi di Barolo 2007 Cannubi  (Barolo),2007,Nebbiolo,Marchesi di Barolo,2007
54,21727,Italy,"Pio Cesare and the 2007 vintage marry beautifully to produce a layered, opulent, textured, rich wine that is bursting with zesty red fruit, sassy spice, leather and toasted espresso bean. What really sets this wine apart is the dense smoothness of its texture. Save this bottle in your cellar 10 years or more.",,95,65.0,Piedmont,Barolo,,,,Pio Cesare 2007  Barolo,2007,Nebbiolo,Pio Cesare,2007
55,25327,Italy,"Not an obvious wine by any stretch, this riserva opens slowly and bashfully to deliver small pulses of cherry, chocolate and smoked bacon that build in intensity and power as the wine gains momentum in the glass. The tannins are present but are soft and firm without any bitter astringency. Age 10 years or more.",Riserva,95,120.0,Tuscany,Brunello di Montalcino,,,,Siro Pacenti 2006 Riserva  (Brunello di Montalcino),2006,Sangiovese Grosso,Siro Pacenti,2006
56,25328,Italy,"This attractive Brunello presents a wild, brambly side, with aromas of wild mushroom, forest floor, small berry and crème de cassis. It boasts a beautiful, deep color and plenty of concentration, with endnotes of spice, leather and dried tobacco leaf. The mouthfeel is solid, well defined and superbly structured.",Val di Suga,95,61.0,Tuscany,Brunello di Montalcino,,,,Tenimenti Angelini 2007 Val di Suga  (Brunello di Montalcino),2007,Sangiovese Grosso,Tenimenti Angelini,2007
57,25329,Italy,"A pretty and lusciously layered Brunello with dark fruit, spice, leather, tobacco and rum cake aromas. The wine is dense and chewy, with a tight, velvety feel. Dark fruit and spice push the wine across the palate, and both the acidity and tannins are softer than in other 2006 riservas.",Riserva,95,75.0,Tuscany,Brunello di Montalcino,,,,Verbena 2006 Riserva  (Brunello di Montalcino),2006,Sangiovese Grosso,Verbena,2006
58,25330,Italy,"This 2007 Brunello is a big, opulent pleasure bomb with lavish layers, loaded thickly on top of each other: Chocolate fudge, dark cherry, blackberry preserves, rum cake, prune, exotic spice, pipe tobacco, cola, humus and leather. It shows huge personality, intensity and staying power, too. All that density is backed by solid tannins and a steady firmness. Hold 10–15 years.",,95,50.0,Tuscany,Brunello di Montalcino,,,,Casanova di Neri 2007  Brunello di Montalcino,2007,Sangiovese Grosso,Casanova di Neri,2007
