ProductId;Country;Score;DealerPrice;Markup;ListPrice;Province;Region_1;Region_2;Title;Vintage;Variety;Winery;Year
451;Italy;92;26;1.3;35.0;Tuscany;Vino Nobile di Montepulciano;;Montemercurio 2007 Messaggero  (Vino Nobile di Montepulciano);2007;Sangiovese;Montemercurio;2007
458;Italy;92;38;1.3;50.0;Lombardy;Franciacorta;;Bellavista 2006 Gran Cuvée Pas Operé Sparkling (Franciacorta);2006;Sparkling Blend;Bellavista;2006
465;Italy;92;53;1.3;69.0;Veneto;Amarone della Valpolicella;;Valentina Cubi 2008 Morar  (Amarone della Valpolicella);2008;Red Blend;Valentina Cubi;2008
542;Italy;93;23;1.3;30.0;Northeastern Italy;Alto Adige Valle Isarco;;Abbazia di Novacella 2012 Praepositus Passito Kerner (Alto Adige Valle Isarco);2012;Kerner;Abbazia di Novacella;2012
549;Italy;93;69;1.3;90.0;Piedmont;Barolo;;Brandini 2011 Resa 56  (Barolo);2011;Nebbiolo;Brandini;2011
650;Italy;92;18;1.3;24.0;Northeastern Italy;Collio;;Sturm 2014 Sauvignon (Collio);2014;Sauvignon;Sturm;2014
662;Italy;90;46;1.4;65.0;Piedmont;Barolo;;Palladino 2011 Ornato  (Barolo);2011;Nebbiolo;Palladino;2011
664;Italy;90;25;1.4;35.0;Piedmont;Dogliani Superiore;;Pecchenino 2013 Siri d'Jermu  (Dogliani Superiore);2013;Dolcetto;Pecchenino;2013
665;Italy;90;17;1.4;25.0;Piedmont;Barbera d'Alba;;Poderi Colla 2013 Costa Bruna  (Barbera d'Alba);2013;Barbera;Poderi Colla;2013
677;Italy;90;35;1.4;50.0;Tuscany;Cortona;;Baracchi Riccardo 2011 Smeriglio Riserva Syrah (Cortona);2011;Syrah;Baracchi Riccardo;2011
678;Italy;90;25;1.4;35.0;Tuscany;Cortona;;Baracchi Riccardo 2012 Smeriglio Syrah (Cortona);2012;Syrah;Baracchi Riccardo;2012
682;Italy;90;32;1.4;45.0;Piedmont;Piemonte;;Castello di Neive 2011 Metodo Classico Pinot Nero (Piemonte);2011;Pinot Nero;Castello di Neive;2011
683;Italy;90;50;1.4;70.0;Tuscany;Colli della Toscana Centrale;;Castello di Querceto 2010 Cignale Red (Colli della Toscana Centrale);2010;Red Blend;Castello di Querceto;2010
686;Italy;90;37;1.4;53.0;Piedmont;Barolo;;Comm. G. B. Burlotto 2011 Acclivi  (Barolo);2011;Nebbiolo;Comm. G. B. Burlotto;2011
692;Italy;91;26;1.3;35.0;Tuscany;Morellino di Scansano;;Poggio Argentiera 2012 Capatosta  (Morellino di Scansano);2012;Red Blend;Poggio Argentiera;2012
695;Italy;91;33;1.3;43.0;Tuscany;Chianti Classico;;Ruffino 2010 Riserva Ducale Oro Gran Selezione  (Chianti Classico);2010;Red Blend;Ruffino;2010
777;Italy;92;13;1.3;18.0;Northeastern Italy;Colli Orientali del Friuli;;Scubla 2008 Cràtis Verduzzo (Colli Orientali del Friuli);2008;Verduzzo;Scubla;2008
780;Italy;92;38;1.3;50.0;Tuscany;Vin Santo del Chianti Classico;;Castello d'Albola 2003  Vin Santo del Chianti Classico;2003;White Blend;Castello d'Albola;2003
781;Italy;92;65;1.3;85.0;Northeastern Italy;Trento;;Ferrari 2001 Giulio Ferrari Riserva del Fondatore Chardonnay (Trento);2001;Chardonnay;Ferrari;2001
808;Italy;90;22;1.4;32.0;Central Italy;Verdicchio dei Castelli di Jesi Classico;;Moncaro 2015 Le Vele  (Verdicchio dei Castelli di Jesi Classico);2015;Verdicchio;Moncaro;2015
844;Italy;90;17;1.4;24.0;Sicily & Sardinia;Etna;;Cottanera 2015 Bianco  (Etna);2015;Carricante;Cottanera;2015
845;Italy;90;32;1.4;46.0;Sicily & Sardinia;Terre Siciliane;;CVA Canicattì 2015 Aquilae Bio Grillo (Terre Siciliane);2015;Grillo;CVA Canicattì;2015
856;Italy;90;17;1.4;25.0;Southern Italy;Sannio;;Fattoria La Rivolta 2015 Taburno Fiano (Sannio);2015;Fiano;Fattoria La Rivolta;2015
861;Italy;90;21;1.4;30.0;Sicily & Sardinia;Etna;;Graci 2015 Rosso  (Etna);2015;Nerello Mascalese;Graci;2015
862;Italy;90;13;1.4;19.0;Sicily & Sardinia;Etna;;Tornatore 2015 Rosato (Etna);2015;Rosato;Tornatore;2015
865;Italy;90;32;1.4;46.0;Sicily & Sardinia;Sicilia;;Baglio del Cristo di Campobello 2015 Laluci White (Sicilia);2015;White Blend;Baglio del Cristo di Campobello;2015
877;Italy;90;32;1.4;46.0;Tuscany;Bolgheri Superiore;;Ceralti 2008 Alfeo  (Bolgheri Superiore);2008;Red Blend;Ceralti;2008
883;Italy;90;32;1.4;46.0;Tuscany;Bolgheri Superiore;;I Luoghi 2008 Campo al Fico  (Bolgheri Superiore);2008;Red Blend;I Luoghi;2008
894;Italy;90;20;1.4;29.0;Tuscany;Morellino di Scansano;;Jacopo Biondi-Santi 2008 Castello di Montepò  (Morellino di Scansano);2008;Sangiovese;Jacopo Biondi-Santi;2008
895;Italy;90;32;1.4;45.0;Tuscany;Toscana;;Le Buche 2006 Giuseppe Olivi Memento Red (Toscana);2006;Red Blend;Le Buche;2006
898;Italy;90;32;1.4;46.0;Tuscany;Toscana;;Marsiliana 2005 Red (Toscana);2005;Red Blend;Marsiliana;2005
899;Italy;90;20;1.4;28.0;Tuscany;Chianti Classico;;Mazzei 2009 Fonterutoli  (Chianti Classico);2009;Sangiovese;Mazzei;2009
1071;Italy;94;42;1.35;57.0;Piedmont;Barolo;;Mauro Veglio 2013 Castelletto  (Barolo);2013;Nebbiolo;Mauro Veglio;2013
1077;Italy;94;133;1.35;180.0;Piedmont;Barolo;;Ascheri 2013 Ascheri  (Barolo);2013;Nebbiolo;Ascheri;2013
1105;Italy;90;15;1.4;22.0;Piedmont;Langhe;;Nada Fiorenzo 2011 Nebbiolo (Langhe);2011;Nebbiolo;Nada Fiorenzo;2011
1109;Italy;90;50;1.4;70.0;Tuscany;Vino Nobile di Montepulciano;;Carpineto 2006 Sant'Ercolano  (Vino Nobile di Montepulciano);2006;Red Blend;Carpineto;2006
1114;Italy;90;27;1.4;38.0;Tuscany;Rosso di Montalcino;;Citille di Sopra 2012  Rosso di Montalcino;2012;Sangiovese;Citille di Sopra;2012
1118;Italy;90;12;1.4;18.0;Tuscany;Rosso di Montepulciano;;Dei 2012  Rosso di Montepulciano;2012;Red Blend;Dei;2012
1207;Italy;93;61;1.3;80.0;Piedmont;Barolo;;Poderi Colla 2013 Bussia Dardi Le Rose  (Barolo);2013;Nebbiolo;Poderi Colla;2013
1217;Italy;93;25;1.3;33.0;Piedmont;;;Bava 2014 Piano Alto Barbera;2014;Barbera;Bava;2014
1218;Italy;93;43;1.3;57.0;Central Italy;Verdicchio dei Castelli di Jesi Classico;;Bucci 2014 Villa Bucci Riserva  (Verdicchio dei Castelli di Jesi Classico);2014;Verdicchio;Bucci;2014
1316;Italy;90;14;1.4;20.0;Southern Italy;Greco di Tufo;;Vesevo 2016  Greco di Tufo;2016;Greco;Vesevo;2016
1337;Italy;90;17;1.4;25.0;Southern Italy;Greco di Tufo;;Di Meo 2016  Greco di Tufo;2016;Greco;Di Meo;2016
1344;Italy;90;12;1.4;18.0;Sicily & Sardinia;Sicilia;;Feudo Montoni 2016 della Timpa Grillo (Sicilia);2016;Grillo;Feudo Montoni;2016
1452;Italy;94;92;1.35;125.0;Tuscany;Brunello di Montalcino;;Le Ragnaie 2012 Fornace  (Brunello di Montalcino);2012;Sangiovese;Le Ragnaie;2012
1454;Italy;94;114;1.35;154.0;Veneto;Amarone della Valpolicella Classico;;Masi 2009 Campolongo di Torbe  (Amarone della Valpolicella Classico);2009;Red Blend;Masi;2009
1460;Italy;93;36;1.3;48.0;Northeastern Italy;Vigneti delle Dolomiti;;Foradori 2013 Morei Teroldego (Vigneti delle Dolomiti);2013;Teroldego;Foradori;2013
1462;Italy;93;53;1.3;70.0;Tuscany;Brunello di Montalcino;;Le Ragnaie 2012  Brunello di Montalcino;2012;Sangiovese;Le Ragnaie;2012
1471;Italy;93;65;1.3;85.0;Tuscany;Brunello di Montalcino;;Villa Poggio Salvi 2011 Riserva  (Brunello di Montalcino);2011;Sangiovese;Villa Poggio Salvi;2011
1500;Italy;92;33;1.3;43.0;Sicily & Sardinia;Sicilia;;Planeta 2011 Cometa Fiano (Sicilia);2011;Fiano;Planeta;2011
1503;Italy;92;50;1.3;65.0;Sicily & Sardinia;Sicilia;;Tasca d'Almerita 2009 Cabernet Sauvignon (Sicilia);2009;Cabernet Sauvignon;Tasca d'Almerita;2009
1511;Italy;92;50;1.3;65.0;Sicily & Sardinia;Faro;;Palari 2009  Faro;2009;Red Blend;Palari;2009
1513;Italy;92;33;1.3;43.0;Sicily & Sardinia;Sicilia;;Planeta 2010 Chardonnay (Sicilia);2010;Chardonnay;Planeta;2010
1522;Italy;92;32;1.3;42.0;Sicily & Sardinia;Sicilia;;Morgante 2009 Don Antonio Nero d'Avola (Sicilia);2009;Nero d'Avola;Morgante;2009
1676;Italy;90;32;1.4;46.0;Tuscany;Toscana;;Sant Agnese dei F.lli Gigli 2006 Libatio Red (Toscana);2006;Red Blend;Sant Agnese dei F.lli Gigli;2006
1682;Italy;90;32;1.4;46.0;Tuscany;Brunello di Montalcino;;Il Veltro 2005  Brunello di Montalcino;2005;Sangiovese Grosso;Il Veltro;2005
1685;Italy;90;32;1.4;46.0;Tuscany;Maremma;;Massi di Mandorlaia 2007 Colpetroso  (Maremma);2007;Red Blend;Massi di Mandorlaia;2007
1687;Italy;90;32;1.4;46.0;Tuscany;Maremma;;Pieve Vecchia 2007 Pieve dei Monaci  (Maremma);2007;Syrah;Pieve Vecchia;2007
1732;Italy;92;69;1.3;90.0;Tuscany;Brunello di Montalcino;;Lambardi 2010  Brunello di Montalcino;2010;Sangiovese;Lambardi;2010
1736;Italy;92;38;1.3;50.0;Tuscany;Brunello di Montalcino;;Tenuta San Giorgio 2010 Ugolforte  (Brunello di Montalcino);2010;Sangiovese;Tenuta San Giorgio;2010
1738;Italy;92;61;1.3;80.0;Tuscany;Brunello di Montalcino;;Lisini 2008 Riserva  (Brunello di Montalcino);2008;Sangiovese;Lisini;2008
1740;Italy;92;57;1.3;75.0;Tuscany;Bolgheri;;Ornellaia 2012 Le Serre Nuove  (Bolgheri);2012;Red Blend;Ornellaia;2012
1743;Italy;92;34;1.3;45.0;Tuscany;Brunello di Montalcino;;Centolani 2010 Poggiotondo  (Brunello di Montalcino);2010;Sangiovese;Centolani;2010
1781;Italy;91;42;1.3;55.0;Tuscany;Brunello di Montalcino;;Capanna 2009  Brunello di Montalcino;2009;Sangiovese;Capanna;2009
1793;Italy;91;35;1.3;46.0;Tuscany;Brunello di Montalcino;;Bolsignano 2009 Grazia  (Brunello di Montalcino);2009;Sangiovese;Bolsignano;2009
1797;Italy;91;35;1.3;46.0;Tuscany;Brunello di Montalcino;;Uccelliera 2008 Riserva  (Brunello di Montalcino);2008;Sangiovese;Uccelliera;2008
1798;Italy;91;38;1.3;50.0;Piedmont;Barolo;;Villadoria 2004 Riserva  (Barolo);2004;Nebbiolo;Villadoria;2004
1864;Italy;94;96;1.35;130.0;Tuscany;Toscana;;Monteverro 2008 Tinata Red (Toscana);2008;Red Blend;Monteverro;2008
1865;Italy;93;92;1.3;120.0;Tuscany;Toscana;;Mazzei 2008 Castello di Fonterutoli Siepi Red (Toscana);2008;Red Blend;Mazzei;2008
1869;Italy;93;57;1.3;75.0;Tuscany;Toscana;;Castellare di Castellina 2009 Poggio ai Merli Merlot (Toscana);2009;Merlot;Castellare di Castellina;2009
1875;Italy;93;61;1.3;80.0;Tuscany;Toscana;;Terre del Marchesato 2008 Marchesale Syrah (Toscana);2008;Syrah;Terre del Marchesato;2008
1876;Italy;93;35;1.3;46.0;Tuscany;Brunello di Montalcino;;Argiano 2006 L'Orciaia  (Brunello di Montalcino);2006;Sangiovese Grosso;Argiano;2006
1877;Italy;93;35;1.3;46.0;Tuscany;Toscana;;Campo al Noce 2008 Syrah (Toscana);2008;Syrah;Campo al Noce;2008
1885;Italy;93;46;1.3;60.0;Tuscany;Toscana;;Tenuta Monteti 2004 Monteti Red (Toscana);2004;Red Blend;Tenuta Monteti;2004
2039;Italy;;;;;;;;;;;;
2043;Italy;92;63;1.3;82.0;Piedmont;Barolo;;Fratelli Alessandria 2006 Gramolere  (Barolo);2006;Nebbiolo;Fratelli Alessandria;2006
2044;Italy;92;57;1.3;75.0;Piedmont;Barolo;;G D Vajra 2006 Bricco delle Viole  (Barolo);2006;Nebbiolo;G D Vajra;2006
2045;Italy;92;65;1.3;85.0;Piedmont;Barolo;;G D Vajra 2006 Luigi Baudana Cerretta  (Barolo);2006;Nebbiolo;G D Vajra;2006
2046;Italy;92;35;1.3;46.0;Piedmont;Barolo;;Gian Piero Marrone 2006 Pichemej  (Barolo);2006;Nebbiolo;Gian Piero Marrone;2006
2047;Italy;92;35;1.3;46.0;Piedmont;Barolo;;Grimaldi Bruna 2006 Camilla  (Barolo);2006;Nebbiolo;Grimaldi Bruna;2006
2054;Italy;92;38;1.3;50.0;Piedmont;Barolo;;Tenuta Arnulfo 2006 Costa di Bussia  (Barolo);2006;Nebbiolo;Tenuta Arnulfo;2006
2055;Italy;92;36;1.3;48.0;Piedmont;Barolo;;Tenuta Rocca 2006  Barolo;2006;Nebbiolo;Tenuta Rocca;2006
2056;Italy;92;35;1.3;46.0;Piedmont;Barbaresco;;Battaglio 2007  Barbaresco;2007;Nebbiolo;Battaglio;2007
2057;Italy;92;35;1.3;46.0;Piedmont;Barolo;;Cascina Ballarin 2006 Bricco Rocca  (Barolo);2006;Nebbiolo;Cascina Ballarin;2006
2058;Italy;92;35;1.3;46.0;Piedmont;Barolo;;Cavalier Bartolomeo 2006 Cannubi San Lorenzo  (Barolo);2006;Nebbiolo;Cavalier Bartolomeo;2006
2059;Italy;92;35;1.3;46.0;Piedmont;Barolo;;Cavallotto 2004 Bricco Boschis Riserva Vigna San Giuseppe  (Barolo);2004;Nebbiolo;Cavallotto;2004
2060;Italy;92;58;1.3;76.0;Piedmont;Barolo;;Damilano 2006 Cannubi  (Barolo);2006;Nebbiolo;Damilano;2006
2061;Italy;;;;;;;;;;;;
2072;Italy;90;32;1.4;46.0;Veneto;Amarone della Valpolicella Classico;;Allegrini 2004  Amarone della Valpolicella Classico;2004;Corvina, Rondinella, Molinara;Allegrini;2004
2074;Italy;90;32;1.4;45.0;Sicily & Sardinia;Sicilia;;Benanti 2005 Lamorèmio Red (Sicilia);2005;Red Blend;Benanti;2005
2075;Italy;90;29;1.4;41.0;Sicily & Sardinia;Sicilia;;Benanti 2006 Il Monovitigno Nerello Mascalese (Sicilia);2006;Nerello Mascalese;Benanti;2006
2171;Italy;90;76;1.4;107.0;Piedmont;Barolo;;Marchesi di Barolo 2013 Cannubi  (Barolo);2013;Nebbiolo;Marchesi di Barolo;2013
2173;Italy;90;41;1.4;58.0;Piedmont;Barolo;;Monchiero 2013 Rocche di Castiglione  (Barolo);2013;Nebbiolo;Monchiero;2013
2224;Italy;94;68;1.35;92.0;Tuscany;Brunello di Montalcino;;Fornacina 2006 Riserva  (Brunello di Montalcino);2006;Sangiovese Grosso;Fornacina;2006
2225;Italy;94;62;1.35;85.0;Tuscany;Brunello di Montalcino;;San Polino 2006 Riserva  (Brunello di Montalcino);2006;Sangiovese Grosso;San Polino;2006
2226;Italy;94;66;1.35;90.0;Tuscany;Brunello di Montalcino;;Tenuta di Sesta 2007  Brunello di Montalcino;2007;Sangiovese Grosso;Tenuta di Sesta;2007
2228;Italy;94;51;1.35;70.0;Tuscany;Brunello di Montalcino;;Máté 2007  Brunello di Montalcino;2007;Sangiovese Grosso;Máté;2007
2230;Italy;;;;;;;;;;;;
2232;Italy;;;;;;;;;;;;
2233;Italy;94;54;1.35;73.0;Tuscany;Toscana;;Poggio Antico 2009 Madre Red (Toscana);2009;Red Blend;Poggio Antico;2009
2234;Italy;94;48;1.35;65.0;Tuscany;Brunello di Montalcino;;Mocali 2006 Riserva  (Brunello di Montalcino);2006;Sangiovese Grosso;Mocali;2006
2236;Italy;94;33;1.35;45.0;Tuscany;Brunello di Montalcino;;Pietranera 2007  Brunello di Montalcino;2007;Sangiovese Grosso;Pietranera;2007
2237;Italy;94;34;1.35;46.0;Tuscany;Brunello di Montalcino;;Quattroventi 2006 Riserva  (Brunello di Montalcino);2006;Sangiovese Grosso;Quattroventi;2006
2239;Italy;94;78;1.35;106.0;Tuscany;Brunello di Montalcino;;Tenimenti Angelini 2006 Vigna Spuntali Val di Suga  (Brunello di Montalcino);2006;Sangiovese Grosso;Tenimenti Angelini;2006
2240;Italy;94;53;1.35;72.0;Tuscany;Brunello di Montalcino;;Uccelliera 2007  Brunello di Montalcino;2007;Sangiovese Grosso;Uccelliera;2007
2243;Italy;94;55;1.35;75.0;Tuscany;Brunello di Montalcino;;Collosorbo 2006 Riserva  (Brunello di Montalcino);2006;Sangiovese Grosso;Collosorbo;2006
2247;Italy;94;40;1.35;55.0;Tuscany;Brunello di Montalcino;;Verbena 2007  Brunello di Montalcino;2007;Sangiovese Grosso;Verbena;2007
2248;Italy;94;48;1.35;65.0;Tuscany;Brunello di Montalcino;;Castello Romitorio 2007  Brunello di Montalcino;2007;Sangiovese Grosso;Castello Romitorio;2007
2249;Italy;94;111;1.35;150.0;Tuscany;Brunello di Montalcino;;Il Poggiolo E. Cosimi 2006 Il Mio Brunello Riserva  (Brunello di Montalcino);2006;Sangiovese Grosso;Il Poggiolo E. Cosimi;2006
2293;Italy;90;22;1.4;32.0;Tuscany;Vino Nobile di Montepulciano;;La Calonica 2006  Vino Nobile di Montepulciano;2006;Prugnolo Gentile;La Calonica;2006
2295;Italy;90;47;1.4;66.0;Tuscany;Brunello di Montalcino;;Marchesi Antinori 2004 Pian delle Vigne  (Brunello di Montalcino);2004;Sangiovese Grosso;Marchesi Antinori;2004
2296;Italy;90;20;1.4;28.0;Tuscany;Chianti Classico;;Mazzei 2007 Fonterutoli  (Chianti Classico);2007;Sangiovese;Mazzei;2007
2305;Italy;90;41;1.4;58.0;Tuscany;Brunello di Montalcino;;Camigliano 2004  Brunello di Montalcino;2004;Sangiovese Grosso;Camigliano;2004
2307;Italy;90;37;1.4;53.0;Tuscany;Brunello di Montalcino;;Ciacci Piccolomini d'Aragona 2004  Brunello di Montalcino;2004;Sangiovese Grosso;Ciacci Piccolomini d'Aragona;2004
2313;Italy;90;26;1.4;37.0;Tuscany;Chianti Classico;;Tenimenti Angelini 2005 San Leonino Riserva  (Chianti Classico);2005;Sangiovese;Tenimenti Angelini;2005
2314;Italy;90;46;1.4;65.0;Tuscany;Brunello di Montalcino;;Tenuta La Fuga 2004  Brunello di Montalcino;2004;Sangiovese Grosso;Tenuta La Fuga;2004
2315;Italy;90;50;1.4;70.0;Tuscany;Brunello di Montalcino;;Tiezzi 2004  Brunello di Montalcino;2004;Sangiovese Grosso;Tiezzi;2004
2317;Italy;90;24;1.4;34.0;Tuscany;Chianti Classico;;Borgo Scopeto 2005 Vigna Misciano Riserva  (Chianti Classico);2005;Sangiovese;Borgo Scopeto;2005
2318;Italy;90;32;1.4;46.0;Tuscany;Brunello di Montalcino;;Canalicchio Franco Pacenti 2004  Brunello di Montalcino;2004;Sangiovese Grosso;Canalicchio Franco Pacenti;2004
2438;Italy;90;12;1.4;18.0;Central Italy;Montefalco Rosso;;Di Filippo 2012  Montefalco Rosso;2012;Red Blend;Di Filippo;2012
2444;Italy;90;21;1.4;30.0;Central Italy;Lambrusco di Modena;;Cantina della Volta 2010 Rosé Metodo Classico  (Lambrusco di Modena);2010;Lambrusco di Sorbara;Cantina della Volta;2010
2445;Italy;90;13;1.4;19.0;Central Italy;Montefalco Rosso;;Cantina Fratelli Pardi 2011  Montefalco Rosso;2011;Red Blend;Cantina Fratelli Pardi;2011
2447;Italy;90;28;1.4;40.0;Central Italy;Montefalco Sagrantino;;Romanelli 2010  Montefalco Sagrantino;2010;Sagrantino;Romanelli;2010
2448;Italy;90;14;1.4;20.0;Central Italy;Lazio;;Principe Pallavicini 2012 Amarasco Cesanese (Lazio);2012;Cesanese;Principe Pallavicini;2012
2450;Italy;90;57;1.4;80.0;Tuscany;Brunello di Montalcino;;Ruffino 2010 Greppone Mazzi  (Brunello di Montalcino);2010;Sangiovese;Ruffino;2010
2459;Italy;90;39;1.4;55.0;Tuscany;Brunello di Montalcino;;Capanne Ricci 2010  Brunello di Montalcino;2010;Sangiovese;Capanne Ricci;2010
2468;Italy;90;53;1.4;75.0;Tuscany;Brunello di Montalcino;;Collosorbo 2009 Riserva  (Brunello di Montalcino);2009;Sangiovese;Collosorbo;2009
2514;Italy;94;44;1.35;60.0;Piedmont;Barolo;;Le Strette 2010 Bergera Pezzole  (Barolo);2010;Nebbiolo;Le Strette;2010
2516;Italy;94;31;1.35;42.0;Piedmont;Barolo;;Roccheviberti 2010 Rocche di Castiglione  (Barolo);2010;Nebbiolo;Roccheviberti;2010
2518;Italy;94;35;1.35;48.0;Piedmont;Barolo;;Cascina Ballarin 2010 Tre Ciabot  (Barolo);2010;Nebbiolo;Cascina Ballarin;2010
2519;Italy;94;51;1.35;70.0;Piedmont;Barolo;;Comm. G. B. Burlotto 2010 Cannubi  (Barolo);2010;Nebbiolo;Comm. G. B. Burlotto;2010
2520;Italy;94;59;1.35;80.0;Piedmont;Barolo;;Cordero di Montezemolo 2010 Bricco Gattera  (Barolo);2010;Nebbiolo;Cordero di Montezemolo;2010
2521;Italy;94;34;1.35;46.0;Piedmont;Barolo;;Barale Fratelli 2010 Castellero  (Barolo);2010;Nebbiolo;Barale Fratelli;2010
2522;Italy;94;34;1.35;46.0;Piedmont;Barolo;;Brezza 2010  Barolo;2010;Nebbiolo;Brezza;2010
2523;Italy;94;59;1.35;80.0;Piedmont;Barolo;;Paolo Scavino 2010 Carobric  (Barolo);2010;Nebbiolo;Paolo Scavino;2010
2524;Italy;94;47;1.35;64.0;Piedmont;Barolo;;Pio Cesare 2010  Barolo;2010;Nebbiolo;Pio Cesare;2010
2525;Italy;94;55;1.35;75.0;Piedmont;Barolo;;Rivetto 2010 del Comune di Serralunga d'Alba  (Barolo);2010;Nebbiolo;Rivetto;2010
2591;Italy;90;65;1.4;92.0;Piedmont;Barolo;;Barale Fratelli 2009 Bussia  (Barolo);2009;Nebbiolo;Barale Fratelli;2009
2592;Italy;90;58;1.4;82.0;Piedmont;Barolo;;Barale Fratelli 2009 Castellero  (Barolo);2009;Nebbiolo;Barale Fratelli;2009
2632;Italy;90;40;1.4;57.0;Tuscany;Cortona;;Avignonesi 2007 Desiderio Merlot (Cortona);2007;Merlot;Avignonesi;2007
2634;Italy;90;32;1.4;46.0;Tuscany;Bolgheri;;Caccia al Piano 1868 2009 Ruit Hora  (Bolgheri);1868;Red Blend;Caccia al Piano 1868;1868
2661;Italy;90;107;1.4;150.0;Veneto;Amarone della Valpolicella Classico;;Zymè 2006  Amarone della Valpolicella Classico;2006;Red Blend;Zymè;2006
2666;Italy;90;18;1.4;26.0;Veneto;Valpolicella Classico Superiore Ripasso;;Venturini Massimino 2009 Semonte Alto  (Valpolicella Classico Superiore Ripasso);2009;Red Blend;Venturini Massimino;2009
2684;Italy;90;89;1.4;125.0;Veneto;Amarone della Valpolicella Classico;;Zenato 2007 Sergio Zenato Riserva  (Amarone della Valpolicella Classico);2007;Red Blend;Zenato;2007
2870;Italy;91;28;1.3;37.0;Northeastern Italy;Alto Adige;;Elena Walch 2009 Riserva Castel Ringberg Chardonnay (Alto Adige);2009;Chardonnay;Elena Walch;2009
2872;Italy;91;19;1.3;25.0;Veneto;Soave Classico;;Gini 2010 Contrada Salvarenza Vecchie Vigne  (Soave Classico);2010;Garganega;Gini;2010
2877;Italy;91;26;1.3;34.0;Lombardy;Franciacorta;;Contadi Castaldi 2008 Brut Satèn Chardonnay (Franciacorta);2008;Chardonnay;Contadi Castaldi;2008
2892;Italy;91;35;1.3;46.0;Lombardy;Franciacorta;;Contadi Castaldi 2008 Zero Sparkling (Franciacorta);2008;Sparkling Blend;Contadi Castaldi;2008
2987;Italy;91;23;1.3;30.0;Central Italy;Lambrusco di Modena;;Paltrinieri 2013 Grosso Metodo Classico  (Lambrusco di Modena);2013;Lambrusco di Sorbara;Paltrinieri;2013
2996;Italy;91;34;1.3;45.0;Piedmont;Lessona;;La Prevostura 2012  Lessona;2012;Nebbiolo;La Prevostura;2012
2998;Italy;91;50;1.3;66.0;Lombardy;Franciacorta;;Le Marchesine 2007 Secolo Novo Giovanni Biatta Metodo Classico Chardonnay (Franciacorta);2007;Chardonnay;Le Marchesine;2007
3001;Italy;91;33;1.3;43.0;Italy Other;Vino Spumante;;Dubl NV Rosé Brut Metodo Classico Aglianico (Vino Spumante);;Aglianico;Dubl;
3004;Italy;91;23;1.3;30.0;Piedmont;Boca;;Vallana 2007  Boca;2007;Red Blend;Vallana;2007
